School Number,School Name,Address,Suburb,Postcode,Latitude,Longitude
6186,Redwood Park PS OSHC/Vac,2-10 Lokan Street,Redwood Park,5097,-34.814868,138.700743
6187,Surrey Downs PS OSHC,16-24 Vine Street,Surrey Downs,5126,-34.800032,138.711462
6188,Fairview Park Primary School OSHC,Nepondi Court,Fairview Park,5126,-34.79778,138.731422
6189,Modbury West School OSHC/Vac,450-474 Wright Road,Modbury,5092,-34.833255,138.67648
6191,East Para PS OSHC/Vac,12 Caroona Avenue,Para Hills,5096,-34.81765,138.666078
6192,Bellevue Heights PS OSHC,7-19 Vaucluse Crescent,Bellevue Heights,5050,-35.028955,138.588869
6193,Flaxmill Schools OSHC,80 Flaxmill Road,Morphett Vale,5162,-35.127467,138.519246
6194,Ingle Farm Primary School OSHC/Vac,2 Belalie Road,Ingle Farm,5098,-34.827631,138.643207
6195,Braeview PS OSHC/Vac,1A Montana Drive,Happy Valley,5159,-35.081009,138.554104
6196,Morphett Vale East PS OSHC/Vac,Monarch Street,Morphett Vale,5162,-35.121869,138.530944
6197,Westport Primary School OSHC,53 West Street,Semaphore Park,5019,-34.855142,138.491357
6198,Craigburn PS OSHC/Vac,15 Murrays Hill Road,Flagstaff Hill,5159,-35.056187,138.615495
6199,West Lakes Shore PS OSHC/Vac,Edwin Street,West Lakes Shore,5020,-34.863484,138.481851
6202,Torrensville PS OSHC/Vac,Hayward Avenue,Torrensville,5031,-34.919368,138.556719
6204,North Haven School OSHC/Vac,Tapping Crescent,North Haven,5018,-34.790581,138.497559
6205,Wynn Vale School OSHC/Vac,17-19 Sunnybrook Drive,Wynn Vale,5127,-34.801435,138.686542
6206,The Heights OSHC/Vac,Brunel Drive,Modbury Heights,5092,-34.81146,138.682448
6207,Sheidow Park PS OSHC/Vac,21-43 Adams Road,Sheidow Park,5158,-35.071074,138.533052
6208,Mount Barker South PS OSHC/Vac,33-45 Princes Road,Mount Barker,5251,-35.080093,138.859874
6209,Ardtornish PS OSHC/Vac - St Agnes,2 Saarinen Avenue,St Agnes,5097,-34.833595,138.704599
6211,Aberfoyle Hub PS OSHC/Vac,29 Jeanette Crescent,Aberfoyle Park,5159,-35.078103,138.595738
6213,The Pines PS OSHC/Vac,42 Andrew Smith Drive,Parafield Gardens,5107,-34.773316,138.607722
6215,Keithcot Kings OSHC,5 Keithcot Farm Drive,Wynn Vale,5127,-34.799705,138.677278
6216,Eudunda Community Preschool Occ Care,Morgan Road,Eudunda,5374,-34.180855,139.09133
6217,Sir Thomas Playford Kgtn Occ Care,136 Goodman Road,Elizabeth South,5112,-34.733829,138.658038
6218,Blakeview PS OSHC/Vac,Blakeview Boulevard,Blakeview,5114,-34.687897,138.699532
6220,Para Hills West PS OSHC/Vac,21 Balkara Road,Para Hills West,5096,-34.804538,138.644944
6222,Parkside OSHC Centre,12 Robsart Street,Parkside,5063,-34.944657,138.620087
6223,St Joseph's Sch OSHC/Vac Hectorville,30 Montacute Road,Hectorville,5073,-34.889664,138.659936
6226,St Francis Xavier Reg Sch OSHC/Vac,4 Carignane Street,Wynn Vale,5127,-34.802034,138.699253
6227,Our Saviour Lutheran School OSHC/Vac,28 Taylors Road,Aberfoyle Park,5159,-35.073996,138.589118
6228,Holy Family Catholic School OSHC/Vac,71 Shepherdson Road,Parafield Gardens,5107,-34.781949,138.610078
6229,St Martin's OSHC/Vac - Greenacres,66-80 Princes Road,Greenacres,5086,-34.866896,138.628999
6231,Our Lady of Mount Carmel PS OSHC/Vac,17 Pennington Terrace,Pennington,5013,-34.859013,138.524269
6232,St Augustine's Parish Sch OSHC/Vac,25 Commercial Road,Salisbury,5108,-34.763966,138.650364
6233,St Pius X OSHC/Vac,8 Windsor Grove,Windsor Gardens,5087,-34.868523,138.642815
6234,Whitefriars Parish School YMCA OSHC,45 Beaufort Street,Woodville Park,5011,-34.879135,138.547113
6235,Gawler & District Occasional Care,Barnet Road,Evanston,5116,-34.624754,138.73597
6236,Riverview Preschool Centre Occ Care,44-48 Riverview Drive,Salisbury Downs,5108,-34.767602,138.614056
6238,Ingle Farm Community Kgtn Occ Care,2 Belalie Road,Ingle Farm,5098,-34.831112,138.644273
6239,Kapunda Kindergarten Occ Care,Beck Street,Kapunda,5373,-34.339059,138.912873
6240,Lantana Kindergarten Occ Care,45 Lantana Drive,Parafield Gardens,5107,-34.788648,138.606346
6241,Mark Oliphant College CPC Occ Care,99 Douglas Drive,Munno Para,5115,-34.665475,138.683575
6242,Burton Park Preschool Occ Care,49A Kensington Way,Burton,5110,-34.741477,138.597764
6244,The Hub Preschool Occ Care,Hub Drive,Aberfoyle Park,5159,-35.078096,138.59404
6245,Aldinga Community Kgtn Occ Care,Quinliven Road,Aldinga,5173,-35.273749,138.4534
6246,Bains Road Preschool Occ Care,10 Gum Court,Morphett Vale,5162,-35.114397,138.542368
6247,Christie Downs Kindergarten Occ Care,14 Charles Street,Christie Downs,5164,-35.131159,138.491504
6248,Christies North Kgtn Occ Care,27 Shepherd Road,Christies Beach,5165,-35.131683,138.482217
6249,Darlington Kindergarten Occ Care,12A Kurrajong Place,Seacombe Gardens,5047,-35.026403,138.547363
6251,Mitchell Park Kindergarten Occ Care,Lanark Avenue,Mitchell Park,5043,-35.01215,138.564923
6253,Strathalbyn Kindergarten Occ Care,9 Coronation Road,Strathalbyn,5255,-35.260713,138.886856
6254,Woodend Children's Centre Occ Care,20 Bathbank Crescent,Sheidow Park,5158,-35.080114,138.53526
6255,Agnes Goode Kgtn Occ Care,7 Cornish Street,Stepney,5069,-34.910867,138.627534
6258,Highbury Children's Centre Occ Care,46 Beckman Avenue,Highbury,5089,-34.848678,138.708684
